County, FIPS,cancer_incidence_per_100000
"US (SEER+NPCR)(1,10)",0,453.8
"Union County, Florida(6,10)",12125,1206.9
"Williamsburg City, Virginia(6,10)",51830,1014.2
"Lexington City, Virginia(6,10)",51678,755
"Charlottesville City, Virginia(6,10)",51540,718.9
"Covington City, Virginia(6,10)",51580,652
"Petersburg City, Virginia(6,10)",51730,651.3
"Bracken County, Kentucky(7,9)",21023,639.7
"Powell County, Kentucky(7,9)",21197,630.4
"Loup County, Nebraska(6,10)",31115,613.8
"Waynesboro City, Virginia(6,10)",51820,596.9
"Bedford City, Virginia(6,10)",51515,596.6
"Harrisonburg City, Virginia(6,10)",51660,591.1
"Clay County, West Virginia(6,10)",54015,591
"Sherman County, Oregon(6,10)",41055,587.4
"Musselshell County, Montana(6,10)",30065,587
"Iberville Parish, Louisiana(7,9)",22047,586.2
"Sargent County, North Dakota(6,10)",38081,579.7
"Perry County, Kentucky(7,9)",21193,579.2
"Mason County, Kentucky(7,9)",21161,578.9
"Livingston County, Kentucky(7,9)",21139,578.6
"Buena Vista City, Virginia(6,10)",51530,578.2
"Wyoming County, New York(6,10)",36121,577.4
"Kingsbury County, South Dakota(6,10)",46077,577
"Meagher County, Montana(6,10)",30059,573.8
"Nantucket County, Massachusetts(6,10)",25019,572.8
"Vilas County, Wisconsin(6,10)",55125,572.8
"Clay County, Kentucky(7,9)",21051,572.1
"East Feliciana Parish, Louisiana(7,9)",22037,570.8
"Wolfe County, Kentucky(7,9)",21237,570.6
"Fredericksburg City, Virginia(6,10)",51630,566.3
"Lake and Peninsula Borough, Alaska(6,10)",2164,564.6
"Henry County, Kentucky(7,9)",21103,564.5
"Bath County, Kentucky(7,9)",21011,564.2
"Simpson County, Kentucky(7,9)",21213,563.4
"Cumberland County, Kentucky(7,9)",21057,562.7
"Yalobusha County, Mississippi(6,10)",28161,561.9
"Jackson County, Kentucky(7,9)",21109,561.4
"Humphreys County, Mississippi(6,10)",28053,560.9
"Knox County, Kentucky(7,9)",21121,560.5
"Cameron County, Pennsylvania(6,10)",42023,560.4
"Cape May County, New Jersey(7,8)",34009,559.1
